hexbin,value
881f1d7a05fffff,4
881f1d7a01fffff,78
881f1d634dfffff,197
881f1d6349fffff,96
881f1d0a6dfffff,193
881f1d0a65fffff,320
881f1d44ebfffff,2
881f1d44e9fffff,27
881f1d44d7fffff,4
881f1d44d5fffff,148
881f1d44d1fffff,2
881f1d44cbfffff,23
881f1d44b3fffff,7
881f1d44abfffff,147
881f1d44a9fffff,19
881f1d4497fffff,1
881f1d448dfffff,6
881f1d4413fffff,9
881f1d6269fffff,5
881f1d09edfffff,1
881f1d6261fffff,2
881f1d09e5fffff,22
881f1d09d5fffff,2
881f1d6245fffff,24
881f1d09c3fffff,2
881f1d09b5fffff,77
881f1d098bfffff,149
881f1d0989fffff,11
881f1d46ddfffff,1
881f1d46d9fffff,47
881f1d46cbfffff,170
881f1d0d37fffff,2
881f1d0d2dfffff,66
881f1d0d21fffff,7
881f1d0981fffff,114
881f1d0937fffff,117
881f1d0915fffff,28
881f1d0901fffff,5
881f1d08a7fffff,28
881f18874dfffff,433
881f18873dfffff,128
881f18873bfffff,493
881f188739fffff,381
881f188737fffff,3700
881f188733fffff,1780
881f188731fffff,1374
881f18872dfffff,4026
881f188727fffff,2090
881f188723fffff,1048
881f188721fffff,3176
881f18871dfffff,103
881f18871bfffff,22
881f188713fffff,38
881f188711fffff,22
881f188705fffff,609
881f188703fffff,150
881f188701fffff,48
881f188637fffff,120
881f188627fffff,15
881f18855dfffff,3736
881f188559fffff,2865
881f18854bfffff,3748
881f188549fffff,1834
881f188545fffff,1289
881f188541fffff,1807
881f188517fffff,1170
881f188513fffff,49
881f188511fffff,2026
881f18850bfffff,1075
881f188509fffff,2710
881f188503fffff,577
881f188501fffff,1342
881f18846dfffff,127
881f18846bfffff,967
881f188469fffff,1775
881f188467fffff,1376
881f188465fffff,161
881f188463fffff,30
881f188461fffff,247
881f18844bfffff,1004
881f188447fffff,1491
881f188445fffff,883
881f188443fffff,1521
881f188441fffff,712
881f188425fffff,1455
881f188421fffff,4
881f188409fffff,404
881f188405fffff,113
881f1882bbfffff,1796
881f1882b5fffff,1326
881f1882b1fffff,26
881f1882adfffff,380
881f1882a9fffff,342
881f1882a7fffff,1983
881f1882a5fffff,2379
881f1882a1fffff,1817
881f18829dfffff,818
881f18829bfffff,1000
881f188297fffff,470
881f188295fffff,823
881f188291fffff,241
881f18828bfffff,16
881f188289fffff,27
881f188281fffff,16
881f188235fffff,268
881f188233fffff,233
881f188227fffff,17
881f188205fffff,13
881f1881dbfffff,821
881f1880e5fffff,23
881f1880ddfffff,925
881f1880dbfffff,813
881f1880d9fffff,743
881f1880cbfffff,535
881f1880c5fffff,190
881f1880c1fffff,37
881f1880b1fffff,38
881f1880abfffff,117
881f1880a9fffff,77
881f18809bfffff,1053
881f188097fffff,262
881f18808dfffff,32
881f18808bfffff,2240
881f188087fffff,396
881f188083fffff,219
881f18806bfffff,547
881f188063fffff,142
881f188061fffff,9
881f188057fffff,262
881f188055fffff,58
881f188049fffff,60
881f188047fffff,275
881f18803dfffff,697
881f188031fffff,505
881f18802dfffff,151
881f188023fffff,562
881f18801dfffff,278
881f18801bfffff,74
881f188019fffff,27
881f188017fffff,207
881f188015fffff,403
881f18800dfffff,589
881f18800bfffff,76
881f188005fffff,773
881f18876bfffff,2304
881f188769fffff,1733
881f188765fffff,1310
881f188757fffff,401
881f18866bfffff,1081
881f188669fffff,957
881f188663fffff,2104
881f188643fffff,490
881f188641fffff,3481
881f188639fffff,172
881f18862bfffff,475
881f188629fffff,1204
881f18861dfffff,180
881f188605fffff,2263
881f188603fffff,94
881f188601fffff,1168
881f1d4b6dfffff,3315
881f1d4b69fffff,2962
881f1d4b67fffff,4064
881f1d4b45fffff,757
881f1d4b2dfffff,4353
881f1882d7fffff,358
881f1882cdfffff,1064
881f1882cbfffff,882
881f1882c9fffff,700
881f1882c3fffff,70
881f18824bfffff,84
881f188247fffff,3
881f188241fffff,6
881f188201fffff,212
881f1d496dfffff,130
881f1d4965fffff,800
881f189469fffff,13
881f18976bfffff,168
881f189763fffff,63
881f189759fffff,55
881f189757fffff,111
881f189755fffff,283
881f189747fffff,370
881f18973bfffff,617
881f189733fffff,198
881f18972bfffff,158
881f189729fffff,25
881f189727fffff,36
881f189725fffff,23
881f189723fffff,73
881f189721fffff,343
881f18971dfffff,15
881f189717fffff,115
881f189713fffff,100
881f189711fffff,7
881f18970dfffff,172
881f189705fffff,32
881f1896e5fffff,733
881f1896e3fffff,1792
881f1896e1fffff,1237
881f1896bbfffff,4125
881f1896b5fffff,259
881f1896b1fffff,1749
881f1896adfffff,137
881f1896abfffff,344
881f1896a1fffff,73
881f189697fffff,2410
881f189687fffff,848
881f18963dfffff,86
881f189631fffff,582
881f189625fffff,329
881f189621fffff,39
881f1895edfffff,1662
881f1895e9fffff,775
881f1895e1fffff,2101
881f1895a7fffff,738
881f189599fffff,1
881f189591fffff,65
881f189569fffff,433
881f189567fffff,657
881f189565fffff,16
881f189563fffff,75
881f189557fffff,91
881f189555fffff,497
881f18953dfffff,273
881f18953bfffff,203
881f189539fffff,529
881f189535fffff,75
881f18952dfffff,80
881f189523fffff,1556
881f189515fffff,764
881f189509fffff,283
881f189507fffff,562
881f189505fffff,262
881f189503fffff,828
881f1894d7fffff,353
881f189457fffff,269
881f189453fffff,628
881f18944dfffff,341
881f18944bfffff,31
881f189449fffff,374
881f189445fffff,259
881f18941bfffff,135
881f189419fffff,4
881f1894d3fffff,2357
881f1894c7fffff,161
881f1894c3fffff,88
881f1894c1fffff,77
881f1894bbfffff,90
881f1894b5fffff,140
881f1894abfffff,63
881f1894a3fffff,353
881f18949dfffff,6
881f189495fffff,158
881f189485fffff,33
881f189481fffff,494
881f1892b3fffff,12
881f1892b1fffff,7
881f1892abfffff,16
881f1892a7fffff,11
881f1892a5fffff,5
881f189297fffff,9
881f18928bfffff,22
881f189281fffff,28
881f1891ddfffff,1
881f1891d9fffff,15
881f1891d3fffff,47
881f1891c3fffff,16
881f18919dfffff,74
881f18919bfffff,80
881f18918bfffff,34
881f189183fffff,31
881f1890edfffff,221
881f1890ebfffff,2
881f1890e9fffff,2
881f1890e7fffff,189
881f1890e3fffff,40
881f1890e1fffff,14
881f1890d5fffff,30
881f1890cdfffff,68
881f1890c3fffff,6
881f1890c1fffff,3
881f1890b9fffff,10
881f1890adfffff,526
881f1890a9fffff,38
881f1890a1fffff,124
881f189099fffff,20
881f189095fffff,11
881f189093fffff,225
881f189091fffff,55
881f18908dfffff,36
881f18908bfffff,136
881f189085fffff,7
881f189083fffff,78
881f189053fffff,102
881f18903bfffff,39
881f189039fffff,24
881f189037fffff,184
881f189033fffff,516
881f18901dfffff,25
881f189015fffff,2
881f19d161fffff,80
881f19d141fffff,6
881f19d13dfffff,9
