bike_id,lat,lon,is_reserved,is_disabled,rental_uris/android,rental_uris/ios,vehicle_type_id,current_range_meters,last_reported
9a283ea2-cd87-4afb-ae26-e87d9f8353b4,41.858465,-87.706728,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=9a283ea2-cd87-4afb-ae26-e87d9f8353b4,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=9a283ea2-cd87-4afb-ae26-e87d9f8353b4,1,12720,1694535772
3b411600-de6f-4aeb-b78b-ceeeef702ff0,41.951723,-87.705722,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=3b411600-de6f-4aeb-b78b-ceeeef702ff0,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=3b411600-de6f-4aeb-b78b-ceeeef702ff0,1,20160,1694535745
b2b45731-3eb6-4d72-b361-69b5c4bfd0f1,41.797923,-87.65494,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=b2b45731-3eb6-4d72-b361-69b5c4bfd0f1,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=b2b45731-3eb6-4d72-b361-69b5c4bfd0f1,1,20880,1694535732
64e4404f-deb3-4b4c-8c66-6949d5d41599,41.752362,-87.560887,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=64e4404f-deb3-4b4c-8c66-6949d5d41599,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=64e4404f-deb3-4b4c-8c66-6949d5d41599,1,20400,1694535751
8d20605f-e656-495b-9dd4-9848195ad3a8,41.974615,-87.679175,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=8d20605f-e656-495b-9dd4-9848195ad3a8,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=8d20605f-e656-495b-9dd4-9848195ad3a8,1,6960,1694535774
50c96da8-11c4-4399-8f4c-92bed817df6f,41.880717,-87.721225,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=50c96da8-11c4-4399-8f4c-92bed817df6f,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=50c96da8-11c4-4399-8f4c-92bed817df6f,1,20640,1694535756
787372e7-f208-4c0b-85e4-1296f2c9cb09,41.938283,-87.742737,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=787372e7-f208-4c0b-85e4-1296f2c9cb09,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=787372e7-f208-4c0b-85e4-1296f2c9cb09,1,9600,1694535762
0faa3ccf-30ef-44fb-8e36-f7198ddabce0,41.89562,-87.665613,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=0faa3ccf-30ef-44fb-8e36-f7198ddabce0,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=0faa3ccf-30ef-44fb-8e36-f7198ddabce0,1,16800,1694535760
b5936fcc-dbd2-48d7-9274-1b0ddc9f7d7b,41.68817,-87.620983,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=b5936fcc-dbd2-48d7-9274-1b0ddc9f7d7b,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=b5936fcc-dbd2-48d7-9274-1b0ddc9f7d7b,1,20160,1694535754
40ab1137-09e6-44a4-8c86-4167fbd48b6d,41.884105,-87.732598,false,false,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=40ab1137-09e6-44a4-8c86-4167fbd48b6d,https://spin.onelink.me/e2Wc?pid=gbfs&c=Customizable%20GBFS%20deeplink&is_retargeting=true&deep_link_value=pm.spin%3A%2F%2FfindVehicle&af_dp=pm.spin%3A%2F%2F&vehicle_id=40ab1137-09e6-44a4-8c86-4167fbd48b6d,1,4560,1694535770
