hexbin,value
892621acbcfffff,3.0869711417349883
89262cd9617ffff,3.0866750907060565
892621acb77ffff,3.08655645144641
892621aca6fffff,3.086597991674497
892621365cfffff,3.0858392458675397
892621360a3ffff,3.085121745706315
89262136577ffff,3.08542417630363
892621ac967ffff,3.087206098744605
892621364c7ffff,3.0862746778194543
8926213646fffff,3.0854661128842156
89262136417ffff,3.0861835657414427
89262cd92a7ffff,3.0855663036337986
89262136cb7ffff,3.413046606533162
89262cd96cbffff,3.0866968116694364
892621acbd3ffff,3.0872943962816883
89262cd9673ffff,3.0862816402630675
89262cd961bffff,3.08660513618954
892621acb7bffff,3.086486139658944
892621acb23ffff,3.0866266754450207
892621aca73ffff,3.086921241345776
892621365d3ffff,3.0861627247989323
892621360a7ffff,3.0850760216680513
8926213657bffff,3.08535390747831
89262136523ffff,3.085494357341073
892621ac96bffff,3.087136078947869
892621364cbffff,3.0862040150524734
89262136473ffff,3.0857895868756895
89262cd935bffff,3.0849648037289352
8926213641bffff,3.086112996854416
892621ac863ffff,10.136169349146
89262cd92abffff,3.085496526562486
89262136cbbffff,3.084525072599463
89262cd9253ffff,3.0854026208680825
89262cd96cfffff,3.0866509884487447
89262cd9677ffff,3.086235736849563
892621acbd7ffff,3.0872487693208894
892621ad9a3ffff,3.0865727599260224
892621acb27ffff,3.0865808991647956
892621aca77ffff,3.0868757441949004
892621365d7ffff,3.0861170202486723
892621360abffff,3.085005630548715
89262136053ffff,0.5077583933557062
89262136527ffff,3.0854485036081987
892621ac96fffff,3.0870902599028986
892621364cfffff,3.086158520456088
89262136477ffff,3.085744012074765
892621ac867ffff,3.294610509629191
89262cd92afffff,3.08545049200611
89262cd9257ffff,3.0826023793700688
89262cd96d3ffff,3.0869743981352786
892621acbdbffff,3.0871783860350632
89262cd967bffff,3.086165753725493
89262cd9623ffff,48.20293014222841
892621acb83ffff,3.087319064820794
892621ad9a7ffff,3.086527316577752
892621acb2bffff,3.0865107221183767
892621aca7bffff,3.086805103718631
892621365dbffff,3.086046679965058
892621360afffff,3.0849599244544255
892621aca23ffff,3.0869462968950203
89262136583ffff,3.0861872728177016
8926213652bffff,3.085378369472133
89262136057ffff,1.4067981477225164
892621ac973ffff,9.15653993125072
892621364d3ffff,3.086481844166537
8926213647bffff,3.085673414774654
89262136423ffff,3.0858145216808115
892621ac86bffff,6.993231018699089
89262cd92b3ffff,60.93092539686013
89262cd925bffff,3.085286668857773
89262cd9203ffff,3.0854266617042723
89262cd96d7ffff,3.0869285680329046
892621acb87ffff,3.087273361917173
892621ad9abffff,1.5209802081090251
892621acb2fffff,3.0864649637625807
892621360b3ffff,3.0852835509921532
892621aca27ffff,3.0869007237837334
89262136587ffff,3.086141492327551
8926213652fffff,3.085332533654893
892621ac977ffff,8.215897833480392
89262136003ffff,3.0849351517362944
892621364d7ffff,3.0864363427598076
89262136427ffff,3.0857688709243614
892621ac86fffff,3.087410383598491
89262cd92b7ffff,34.145263527737484
89262cd9207ffff,3.0853806740824994
89262cd96dbffff,3.0868585134896294
89262136c17ffff,3.4987538463357146
89262cd9683ffff,3.0869985347902555
89262cd962bffff,3.0861898044903824
892621acb8bffff,3.087203113365553
892621ad9afffff,3.0864111283132636
892621acb33ffff,3.086788371114502
892621360b7ffff,3.0852378380112935
892621aca2bffff,3.0868302180475338
8926213658bffff,3.086071286703874
89262136533ffff,3.0856561650846546
892621ac97bffff,3.0872977436898426
89262136007ffff,3.084889492543381
892621364dbffff,3.0863656738401595
89262cd93c3ffff,3.5484777402728476
89262136483ffff,3.0865069239414167
89262cd936bffff,4.29418437420032
8926213642bffff,3.0856984082578025
89262cd92bbffff,3.0850143641041763
89262cd9263ffff,3.0849870166642446
89262cd920bffff,3.085310768452122
89262cd9687ffff,3.0869526287020608
89262cd962fffff,33.79182358267748
892621acb8fffff,3.08715742836584
892621ad9b3ffff,3.086734375538525
892621acb37ffff,3.0867426059151346
892621360bbffff,3.085167440750041
892621aca2fffff,3.086784662840154
8926213658fffff,3.0860255241352212
89262136063ffff,4.297559007317296
89262136537ffff,3.085610322407231
8926213600bffff,3.0848189730086344
89262136487ffff,3.086461346548867
8926213642fffff,3.08565277542969
89262cd9267ffff,3.0849410248657727
89262cd920fffff,3.0852647987401194
89262cd968bffff,3.086882708901788
89262cd9633ffff,60.82353781451324
892621acb93ffff,3.087480685249107
892621ad9b7ffff,3.086688943266227
892621acb3bffff,3.0866724227199587
892621aca33ffff,3.087107914965268
89262136593ffff,3.0863490054588825
8926213653bffff,3.085540182116544
8926213600fffff,3.084773331751877
89262cd93cbffff,3.0852425372890413
892621ac92bffff,9.169478284863207
8926213648bffff,3.086390812311632
89262136433ffff,3.0859762519277694
892621ac823ffff,9.169238368768363
89262cd92c3ffff,3.085680374965743
89262cd926bffff,4.250500548028924
89262cd9213ffff,3.085588508743418
89262cd968fffff,3.0868368207683163
892621acb97ffff,3.0874349933989818
892621ad9bbffff,2.269627202916859
892621360c3ffff,3.085188165029359
892621aca37ffff,3.087062352923112
89262136597ffff,3.0863032360359104
89262136013ffff,3.0850969557947256
89262cd93cfffff,4.170570996323756
892621ac92fffff,7.15923641022103
8926213648fffff,3.086345252831785
89262136437ffff,3.0859306122326324
892621ac827ffff,5.553046808937364
89262cd92c7ffff,3.0856344563112943
89262cd926fffff,3.5319022551319113
89262cd9217ffff,3.0855425321389824
89262cd9693ffff,3.087160232769919
89262cd963bffff,3.0863503180895924
892621acb9bffff,3.0873647387357397
892621366a3ffff,0.06996725306877696
892621acb43ffff,3.0866934653362397
892621aca3bffff,3.0869918410137247
892621360c7ffff,3.085142574886835
8926213659bffff,3.0862330242859515
89262136543ffff,3.085561422760534
89262136017ffff,3.0850513076650805
89262cd93d3ffff,5.3258453562299835
89262136493ffff,3.0866685790077955
89262cd937bffff,4.168211983523002
8926213643bffff,3.0858601434261117
892621ac82bffff,5.876274641417849
89262cd92cbffff,3.0855644507157245
89262cd9273ffff,3.0851489005245964
89262136c83ffff,3.084733082235137
89262cd921bffff,3.085472620386233
89262cd9697ffff,3.087114337748901
892621361d3ffff,3.50491456153428
892621366a7ffff,2.533095931741755
892621acb47ffff,3.086647823078794
892621360cbffff,1.1156693326373261
89262136073ffff,3.084646955989248
89262136547ffff,3.0855157029439217
8926213601bffff,3.0849807819718045
89262cd93d7ffff,21.93696995035983
89262136497ffff,3.0866230127068532
892621ac82fffff,3.087596608837538
89262cd92cfffff,3.0855185500355433
89262cd9277ffff,3.0851029197972104
89262136c87ffff,3.0846870214703177
89262cd969bffff,3.087044411846778
892621acba3ffff,3.0870659713124384
89262cd9643ffff,3.086373360026331
892621acb4bffff,3.086577417367398
892621360cfffff,2.6716894039281756
892621365a3ffff,3.0859339120064844
89262136077ffff,3.951934340516602
8926213654bffff,3.085445340312916
89262cd93dbffff,3.0854044284424917
8926213649bffff,3.086552472311089
89262136443ffff,3.0858806494743805
89262cd92d3ffff,3.0858421838683245
89262cd927bffff,3.4953813076438367
89262136c8bffff,4.058758512261992
89262cd9223ffff,3.085172772384294
892621acba7ffff,3.087020199225525
89262cd9647ffff,3.0863275146488087
892621361dbffff,3.8835866929278224
892621acb4fffff,3.0865317930304728
89262cd906bffff,16.580047718021987
892621aca47ffff,1.9169190348759282
892621360d3ffff,3.085349930940478
892621365a7ffff,3.0858880624200147
8926213607bffff,1.9274943574373788
8926213654fffff,3.0853996383835987
89262136447ffff,3.085835132688917
892621ac837ffff,12.270372019189363
89262cd92d7ffff,3.085796276296688
89262136c8fffff,3.129014030446166
89262cd9227ffff,3.0851267157785838
89262cd96a3ffff,4.683861756742495
892621acbabffff,3.0869500507544108
89262cd964bffff,3.086257437620353
892621366b3ffff,0.5855829043205967
892621acb53ffff,3.0868551216153657
892621acaa3ffff,11.265767308339075
892621aca4bffff,0.5553926166354758
892621360d7ffff,3.0853043518973795
892621365abffff,3.0858179568182096
89262136553ffff,3.0857231911596914
892621ac943ffff,6.315782079626334
892621364a3ffff,3.0862540468611135
8926213644bffff,1.292933886819077
89262cd92dbffff,3.085726264562134
89262cd9283ffff,3.0858662002922275
89262136c93ffff,3.0848950041313965
89262cd922bffff,3.0850569100918994
89262cd96a7ffff,54.25848216720117
892621acbafffff,3.086904296611471
89262cd964fffff,3.086211610157488
892621366b7ffff,3.0324814755804366
892621acb57ffff,3.086809490429006
892621acaa7ffff,4.1204151566147305
